id_renabap,nombre_barrio,departamento,cantidad_viviendas_aproximadas,cantidad_familias_aproximada,superficie_m2,id_energia_electrica,id_calefaccion,id_efluentes_cloacales,id_cocina,id_agua_corriente,id_clasificacion_barrio,id_titulo_propiedad,id_decada_creacion,id_provincia,id_departamento,id_localidad
1,Monterrey I,Pilar,40,44,11674,1,1,1,1,1,1,1,10,1,1,1
1536,Toro y Paso,Pilar,30,33,23663,2,1,2,1,1,1,1,10,1,1,1
124,Henry Martín y México,Pilar,40,44,63652,2,1,2,1,1,1,1,12,1,1,1
5315,El Jordán,Pilar,17,19,19403,2,3,2,1,1,1,1,12,1,1,1
248,Los Laureles,Pilar,70,77,29549,2,1,1,1,1,1,1,11,1,1,1
27,Monterrey II,Pilar,40,44,5265,5,1,1,1,1,1,1,11,1,1,1
1431,Madre Rosa,Pilar,60,66,25211,2,3,1,1,1,1,1,11,1,1,1
4594,El Bosque,Pilar,17,19,22950,2,2,1,1,1,1,1,11,1,1,1
219,La Escondida,Pilar,495,545,595407,4,3,2,1,1,1,1,11,1,1,1
5316,Comunidad TOBA,Pilar,10,11,12022,2,3,1,1,4,1,1,11,1,1,1
6318,Los Milagros,Pilar,36,40,12777,3,3,1,1,4,3,1,11,1,1,1
1436,Toro,Pilar,470,517,350732,3,4,1,1,1,1,1,9,1,1,1
260,Santa Ana II,Pilar,40,44,19016,2,3,2,1,1,1,1,9,1,1,1
1446,Monterrey Sur,Pilar,450,495,251165,2,3,2,1,1,1,1,9,1,1,1
1543,Santa Ana I,Pilar,230,253,104939,2,3,2,1,1,1,1,9,1,1,1
6310,El Rocío,Pilar,400,440,235450,3,4,1,1,1,1,1,7,1,1,1
1442,Villa Luján,Pilar,250,275,128506,3,3,1,1,1,1,1,6,1,1,1
255,San Souci,Pilar,380,418,291113,2,2,2,1,1,1,1,8,1,1,1
402,Leguizamón y Haití,Pilar,280,308,79583,3,1,1,1,1,1,1,10,1,1,2
300,Buenos Aires y FFCC San Martín,Pilar,15,17,4779,2,1,1,1,1,1,1,12,1,1,2
5314,Vicente López,Pilar,40,44,39015,10,3,2,1,2,1,1,12,1,1,2
318,Los Grillos,Pilar,1162,1278,788190,3,1,1,1,1,1,1,11,1,1,2
4561,Pilarica,Pilar,80,88,31229,3,4,1,1,1,1,1,11,1,1,2
4560,Lima,Pilar,80,88,43304,3,4,2,1,1,1,1,9,1,1,2
6315,Santa María,Pilar,25,28,11723,10,4,2,1,1,1,1,9,1,1,2
1470,San Souci Norte,Pilar,20,22,32205,2,2,2,3,1,1,1,9,1,1,2
1448,El Bosque,Pilar,90,99,22650,3,3,1,1,2,1,1,9,1,1,2
1467,Las Margaritas,Pilar,55,61,12220,3,3,2,1,2,1,1,6,1,1,2
1578,Peruzotti,Pilar,120,132,358194,3,1,1,1,1,1,1,8,1,1,2
4729,El Manantial,Pilar,200,220,62376,3,3,1,1,1,1,1,8,1,1,2
496,Mundo Aparte,Pilar,108,119,33252,2,2,1,1,1,1,1,8,1,1,2
4342,Agustoni,Pilar,2920,3212,1350522,3,2,1,1,1,1,1,8,1,1,2
4728,La Loma,Pilar,40,44,5814,1,3,1,1,1,1,1,10,1,1,10
1452,Falcón,Pilar,50,55,34599,3,3,1,1,1,1,1,9,1,1,10
6313,Ferroviario,Pilar,40,44,19095,3,6,1,2,4,2,1,9,1,1,10
1479,San Alejo,Pilar,600,660,302159,3,3,1,1,1,1,1,7,1,1,10
4588,Solares del Norte,Pilar,120,132,75577,2,3,1,1,1,1,1,10,1,1,6
6316,Beliera,Pilar,25,28,9176,10,3,2,1,1,1,1,10,1,1,6
1021,San Cayetano,Pilar,1418,1560,488704,3,3,1,1,1,1,1,8,1,1,6
5312,Santa Brígida,Pilar,420,462,190060,3,3,1,1,1,1,1,8,1,1,6
481,Gauchito Gil,Pilar,120,132,93292,2,2,1,1,1,1,1,10,1,1,5
467,Padre Urquiza,Pilar,360,396,437928,2,1,2,1,1,1,1,11,1,1,5
1489,Manzone,Pilar,700,770,624889,2,3,2,1,1,1,1,11,1,1,5
6314,Manzone,Pilar,20,22,12965,10,3,2,1,1,1,1,11,1,1,5
330,Boliviano II,Pilar,350,385,98346,3,1,2,1,1,1,1,10,1,1,3
6320,Loma Linda,Pilar,55,61,23452,10,3,2,1,1,1,1,12,1,1,3
936,Belgrano y Chacabuco,Pilar,130,143,61256,3,1,1,1,1,1,1,11,1,1,3
