id_departamento,id_provincia,departamento,provincia
1,1,Pilar,Buenos Aires
2,1,La Plata,Buenos Aires
3,1,Almirante Brown,Buenos Aires
4,1,Quilmes,Buenos Aires
5,1,Lomas de Zamora,Buenos Aires
6,1,Avellaneda,Buenos Aires
7,1,Campana,Buenos Aires
8,1,José C. Paz,Buenos Aires
9,1,General San Martín,Buenos Aires
10,1,Florencio Varela,Buenos Aires
11,1,Tigre,Buenos Aires
12,1,Cañuelas,Buenos Aires
13,1,General Rodríguez,Buenos Aires
14,1,La Matanza,Buenos Aires
15,1,Moreno,Buenos Aires
16,1,San Pedro,Buenos Aires
17,1,Merlo,Buenos Aires
18,1,Vicente López,Buenos Aires
19,1,Azul,Buenos Aires
20,1,Bahía Blanca,Buenos Aires
21,1,Baradero,Buenos Aires
22,1,Berazategui,Buenos Aires
23,1,Berisso,Buenos Aires
24,1,Necochea,Buenos Aires
25,1,General Viamonte,Buenos Aires
26,1,Esteban Echeverría,Buenos Aires
27,1,Brandsen,Buenos Aires
28,1,Lanús,Buenos Aires
29,1,9 de julio,Buenos Aires
30,1,Mercedes,Buenos Aires
31,1,Carmen de Areco,Buenos Aires
32,1,Morón,Buenos Aires
33,1,Chascomús,Buenos Aires
34,1,San Fernando,Buenos Aires
35,1,Chivilcoy,Buenos Aires
36,1,Ramallo,Buenos Aires
37,1,Hurlingham,Buenos Aires
38,1,San Andrés de Giles,Buenos Aires
39,1,Dolores,Buenos Aires
40,1,Ensenada,Buenos Aires
41,1,Malvinas Argentinas,Buenos Aires
42,1,Zárate,Buenos Aires
43,1,General Pueyrredón,Buenos Aires
44,1,Escobar,Buenos Aires
45,1,Exaltación de la Cruz,Buenos Aires
46,1,San Nicolás,Buenos Aires
47,1,San Vicente,Buenos Aires
48,1,Tres de Febrero,Buenos Aires
49,1,Lobos,Buenos Aires
50,1,José M. Ezeiza,Buenos Aires
51,1,Pehuajó,Buenos Aires
52,1,Punta Indio,Buenos Aires
53,1,Tordillo,Buenos Aires
54,1,La Costa,Buenos Aires
55,1,Ituzaingó,Buenos Aires
56,1,Balcarce,Buenos Aires
57,1,Villarino,Buenos Aires
58,1,Villa Gesell,Buenos Aires
59,1,Capitán Sarmiento,Buenos Aires
60,1,San Isidro,Buenos Aires
61,1,General Juan Madariaga,Buenos Aires
62,1,Bragado,Buenos Aires
63,1,Olavarría,Buenos Aires
64,1,Junín,Buenos Aires
65,1,Pergamino,Buenos Aires
66,1,Lincoln,Buenos Aires
67,1,Tandil,Buenos Aires
68,1,Luján,Buenos Aires
69,1,San Miguel,Buenos Aires
70,1,Coronel de Marina Leonardo Rosales,Buenos Aires
71,1,Salto,Buenos Aires
72,1,Presidente Perón,Buenos Aires
73,1,Las Flores,Buenos Aires
74,1,Magdalena,Buenos Aires
75,1,Marcos Paz,Buenos Aires
76,1,Patagones,Buenos Aires
77,1,Saladillo,Buenos Aires
78,1,Monte,Buenos Aires
79,1,Arrecifes,Buenos Aires
80,1,25 de mayo,Buenos Aires
81,1,Monte Hermoso,Buenos Aires
82,1,Maipú,Buenos Aires
83,1,Pinamar,Buenos Aires
84,1,Castelli,Buenos Aires
85,1,General Alvarado,Buenos Aires
86,1,Chacabuco,Buenos Aires
87,1,General Villegas,Buenos Aires
88,1,Coronel Dorrego,Buenos Aires
89,1,Carlos Casares,Buenos Aires
90,1,Tres Arroyos,Buenos Aires
91,2,Capital,Córdoba
92,2,Colón,Córdoba
93,2,Santa María,Córdoba
94,2,Punilla,Córdoba
95,2,Juárez Celman,Córdoba
