id_localidad,id_departamento,localidad
1,1,Presidente Derqui
2,1,Pilar
3,1,Villa Rosa
4,1,Manzanares
5,1,Villa Astolfi
6,1,Lagomarsino
7,1,La Lonja
8,1,Fátima
9,1,Manuel Alberti
10,1,Del Viso
11,1,Zelaya
12,2,José Melchor Romero
13,2,Angel Etcheverry
14,2,Tolosa
15,2,City Bell
16,2,Manuel B. Gonnet
17,2,Gorina
18,2,José Hernández
19,2,Villa Elisa
20,2,Arturo Seguí
21,2,Lisandro Olmos
22,2,San Carlos
23,2,Los Hornos
24,2,Villa Elvira
25,2,Altos De San Lorenzo
26,2,Abasto
27,2,El Peligro
28,2,Arana
29,2,Lomas De Copello
30,2,Ringuelet
31,2,La Plata
32,3,Burzaco
33,3,Longchamps
34,3,Rafael Calzada
35,3,Glew
36,3,Don Orione
37,3,Claypole
38,3,San José
39,3,Solano
40,3,Ministro Rivadavia
41,3,José Marmol
42,3,Malvinas Argentinas
43,4,Quilmes
44,4,Bernal Oeste
45,4,Ezpeleta
46,4,Villa La Florida
47,4,Quilmes Oeste
48,4,San Francisco Solano
49,4,Don Bosco
50,4,Bernal
51,5,Lavallol
52,5,Santa Catalina
53,5,Villa Fiorito
54,5,Villa Albertina
55,5,Villa Centenario
56,5,Villa Lamadrid
57,5,Ingeniero Budge
58,5,Temperley
59,5,Parque Barón
60,6,Dock Sud
61,6,Piñeyro
62,6,Gerli
63,6,Villa Domínico
64,6,Sarandí
65,6,Crucecita
66,6,Zona De Reserva
67,6,Wilde
68,6,Avellaneda
69,7,Campana
70,7,Ingeniero Otamendi
71,8,José C. Paz
72,9,Bíllinghurst
73,9,Villa Maipú
74,9,Loma Hermosa
75,9,Villa Granaderos De San Martín
76,9,San Andrés
77,9,José León Suárez
78,9,Villa Ballester
79,9,Villa Libertad
80,9,Villa Ayacucho
81,9,Villa Lynch
82,10,Florencio Varela
83,10,Ingeniero Allan
84,10,Gobernador Costa
85,10,Bosques
86,10,Estanislao Severo Zeballos
87,10,Santa Rosa
88,10,La Capilla
89,10,Villa Brown
90,10,Villa Vatteone
91,10,Villa San Luis
92,11,Don Torcuato
93,11,Benavídez
94,11,El Talar
95,11,General Pacheco
96,11,Rincón De Milberg
97,11,Tigre
98,11,Don Torcuato Este
99,11,Ricardo Rojas
100,11,Los Troncos Del Talar
101,11,Dique Luján
102,12,Cañuelas
103,12,Máximo Paz
104,13,General Rodríguez
105,14,Rafael Castillo
106,14,Virrey Del Pino
107,14,Villa Luzuriaga
108,14,San Justo
109,14,Ciudad Evita
110,14,Isidro Casanova
111,14,Gregorio De Laferrere
112,14,La Tablada
113,14,Villa Celina
114,14,González Catán
115,14,Lomas Del Mirador
116,14,Ciudad Madero
117,14,Tapiales
118,14,Aldo Bonzi
119,14,Ramos Mejía
120,15,La Reja
121,15,Cuartel V
122,15,Moreno
123,15,Paso Del Rey
124,15,Trujui
125,15,Francisco Álvarez
126,16,San Pedro
127,16,Río Tala
128,16,Santa Lucía
129,17,Pontevedra
130,17,Libertad
131,17,Merlo
132,17,Mariano Acosta
133,17,Parque San Martín
134,18,Olivos
135,18,Villa Martelli
136,18,Florida Oeste
137,18,Carapachay
138,18,Vicente López
139,18,Munro
140,19,Azul
141,20,Bahía Blanca
142,20,Ingeniero White
143,20,General Daniel Cerri
144,21,Baradero
145,22,Centro Agrícola El Pato
146,22,Plátanos
147,22,Ranelagh
148,22,Berazategui Oeste
149,22,Gutiérrez
150,22,Guillermo Hudson
151,22,Pereyra
152,23,Los Talas
153,23,Berisso
154,23,El Carmen
155,23,Villa Progreso
156,24,Necochea
157,24,Quequén
158,25,Los Toldos
159,26,Monte Grande
160,26,El Jagüel
161,26,Nueve De Abril
162,26,Luis Guillón
163,27,Brandsen
164,28,Monte Chingolo
165,28,Valentín Alsina
166,28,Lanús Oeste
167,28,Remedios De Escalada
168,28,Lanús Este
169,29,Nueve De Julio
170,30,Gowland
171,30,Mercedes
172,31,Carmen De Areco
173,32,Castelar
174,32,El Palomar
175,32,Morón
176,32,Haedo
177,33,Chascomús
178,34,San Fernando
179,34,Victoria
180,34,Virreyes
181,35,Chivilcoy
182,36,Pérez Millan
183,36,Ramallo
184,36,Villa Ramallo
185,37,William Morris
186,37,Villa Tesei
187,37,Hurlingham
188,38,Solís
189,38,San Andrés De Giles
190,39,Dolores
191,40,El Dique
192,40,Ensenada
193,40,Punta Lara
194,41,Villa De Mayo
195,41,Sourdeaux
196,41,Pablo Nogués
197,41,Los Polvorines
198,41,Grand Bourg
199,41,Tierras Altas
200,41,Tortuguitas
201,42,Zárate
202,42,Escalada
203,42,Lima
204,43,Mar Del Plata
205,43,Estación Chapadmalal
206,43,Batán
207,43,Sierra De Los Padres
208,44,Garín
209,44,Ingeniero Maschwitz
210,44,Escobar
211,44,Maquinista Savio
212,44,Matheu
213,45,Pavón
214,45,Los Cardales
215,45,Arroyo De La Cruz
216,45,Robles
217,46,San Nicolás De Los Arroyos
218,47,Alejandro Korn
219,47,San Vicente
220,47,Domselaar
221,48,El Libertador
222,48,Caseros
223,48,Churruca
224,48,Remedios De Escalada
225,48,Loma Hermosa
226,48,Jose Ingenieros
227,48,Ciudadela
228,48,Santos Lugares
229,49,Lobos
230,50,Tristán Suárez
231,50,Carlos Spegazzini
232,50,Ezeiza
233,50,La Unión
234,51,Pehuajó
235,52,Verónica
236,53,General Conesa
237,54,San Bernardo
238,54,Santa Teresita
239,54,Mar Del Tuyú
240,54,San Clemente Del Tuyú
241,54,Mar De Ajó
242,55,Ituzaingó
243,55,Villa Gobernador Udaondo
244,55,Ituzaingó Norte
245,56,Balcarce
246,57,Pedro Luro
247,57,Medanos
248,57,Mayor Buratóvich
249,57,Hilario Ascasubi
250,58,Villa Gesell
251,58,Mar Azul
252,59,Capitán Sarmiento
253,60,Beccar
254,60,Boulogne Sur Mer
255,60,San Isidro
256,60,Martínez
257,61,General Juan Madariaga
258,62,Bragado
259,63,Olavarría
260,64,Junín
261,64,Morse
262,65,Pergamino
263,65,Rancagua
264,66,Lincoln
265,67,Tandil
266,68,Olivera
267,68,Luján
268,68,Lezica Y Torrezuri
269,68,Open Door
270,69,Santa María
271,69,San Miguel
272,69,Bella Vista
273,69,Muñiz
274,70,Punta Alta
275,71,Salto
276,72,Guernica
277,72,Barrio America Unida
278,73,Las Flores
279,74,Magdalena
280,75,Marcos Paz
281,75,Barrio Santa Rosa
282,76,Carmen De Patagones
283,76,Villalonga
284,77,Saladillo
285,78,San Miguel Del Monte
286,79,Arrecifes
287,91,Córdoba Capital
288,92,Estacion Juárez Celman
289,92,Villa Allende
290,92,Colonia Caroya
291,92,Malvinas Argentinas
292,92,Unquillo
293,92,Jesús María
294,92,La Calera
295,92,Saldán
296,92,Salsipuedes
297,92,El Manzano
298,93,Alta Gracia
299,93,Bouwer
300,93,Anisacate
301,93,Malagueño
302,94,Villa Giardino
303,94,La Falda
304,94,Santa María
305,94,Cosquín
306,94,Cuesta Blanca
307,94,Villa Río Icho Cruz
308,94,Tanti
309,94,Villa Carlos Paz
310,94,Bialet Massé
311,94,Capilla Del Monte
312,95,General Cabrera
313,95,La Carlota
314,96,Oncativo
315,96,Río Segundo
316,96,Pilar
317,97,Morteros
318,97,San Francisco
319,97,Las Varillas
320,97,Balnearia
321,98,Villa Yacanto
322,98,Villa General Belgrano
323,98,Villa Ciudad Parques Los Reartes (1° Sección)
324,98,Embalse
325,99,Río Cuarto
326,100,Villa Dolores
327,100,La Ramada
328,100,Las Tapias
329,101,Río Tercero
330,102,Bell Ville
331,103,Villa Del Totoral
332,104,Villa Nueva
333,104,Villa María
334,104,Sanabria
335,104,Ticino
336,105,Lucio V. Mansilla
337,106,San Francisco Del Chañar
338,112,Rosario
339,112,Villa Gobernador Gálvez
340,112,Pérez
341,112,Granadero Baigorria
342,112,Alvear
343,112,Pueblo Esther
344,112,General Lagos
345,112,Fighiera
346,112,Arroyo Seco
347,112,Funes
348,112,Ibarlucea
349,112,Piñero
350,112,Coronel Bogado
351,113,San Lorenzo
352,113,Capitán Bermúdez
353,113,Roldán
354,113,Puerto General San Martín
355,113,Fray Luis Beltrán
356,113,Timbúes
357,131,Posadas
358,131,Garupá
359,131,Nemesio Parma
360,131,Posadas (Extensión)
361,132,Oberá
362,132,Campo Viera
363,132,Guaraní
364,132,Los Helechos
365,133,San Vicente
366,133,Chacra 302
367,133,Fracrán
368,133,El Soberbio
369,133,Kilómetro 300
370,134,Eldorado
371,134,9 De Julio Kilómetro 20
372,134,Colonia Victoria
373,134,María Magdalena
374,134,Santiago De Liniers
375,148,Salta Capital
376,148,Villa San Lorenzo
377,149,Cerrillos
378,150,General Enrique Mosconi
379,150,Tartagal
380,150,Aguaray
381,150,Profesor Salvador Mazza
382,150,Embarcación
383,150,Coronel Cornejo
384,150,General Ballivián
385,150,Hickman
386,150,Dragones
387,150,Carboncito
388,150,Padre Lozano
389,150,Campichuelo
390,151,San Ramón De La Nueva Orán
391,151,Aguas Blancas
392,151,Pichanal
393,151,Colonia Santa Rosa
394,151,Hipólito Yrigoyen
395,151,Paraje Saucelito
396,151,Urundel
397,152,Vaqueros
398,152,La Caldera
399,153,Rosario De La Frontera
400,164,Puerto Vilelas
401,164,Resistencia
402,164,Barranqueras
403,164,Fontana
404,164,Basail
405,165,Colonia Benítez
406,165,Margarita Belén
407,188,Santa Ana De Los Guácaras
408,188,Paso De La Patria
409,189,Corrientes
410,189,Riachuelo
411,189,Laguna Brava
412,211,Neuquén
413,211,Centenario
414,211,Vista Alegre Norte
415,211,Plottier
416,211,Cutral Co
417,211,Senillosa
418,221,Cipolletti
419,221,Allen
420,221,General Roca
421,221,Cinco Saltos
422,221,General Fernández Oro
423,221,Catriel
424,221,Villa Regina
425,221,Mainqué
426,221,Barda Del Medio
427,221,Cervantes
428,221,Chichinales
429,221,General Enrique Godoy
430,221,Ingeniero Luis A. Huergo
431,222,Balsa Las Perlas
432,227,Puerto Madero
433,227,Retiro
434,228,Recoleta
435,229,Barracas
436,229,Nueva Pompeya
437,229,La Boca
438,230,Flores
439,231,Villa Lugano
440,231,Villa Soldati
441,231,Villa Riachuelo
442,232,Parque Avellaneda
443,233,Chacarita
444,233,Paternal
445,223,San Carlos De Bariloche
446,223,Villa Campanario
447,223,El Bolsón
448,236,Paraná
449,236,Colonia Avellaneda
450,236,San Benito
451,236,Crespo
452,236,Cerrito
453,236,Villa Urquiza
454,251,San Fernando Del Valle De Catamarca
455,252,San Isidro
456,252,Santa Cruz
457,252,Pozo Del Mistol
458,260,San Miguel De Tucumán
459,261,El Manantial
460,261,San Isidro De Lules
461,261,Ingenio San Pablo
462,261,La Reducción
463,261,Barrio San Felipe
464,262,Alderetes
465,262,Banda Del Río Salí
466,262,San Andrés
467,262,Colombres
468,262,Delfín Gallo
469,262,Ex Ingenio Los Ralos
470,262,Ingenio La Florida
471,262,Ranchillos
472,262,Villa Tercera
473,262,Lastenia
474,262,El Bracho
475,262,Las Cejas
476,277,Villa Mercedes
477,278,San Luis
478,278,Juana Koslay
479,283,Chimbas
480,284,Rivadavia
481,284,La Bebida
482,285,Santa Lucía
483,285,Colonia Richet Zapata
484,285,Alto de Sierra
485,286,Caucete
486,286,Pie De Palo
487,286,Las Talas
488,286,Los Médanos
489,286,Bermejo
490,286,Vallecito
491,287,Villa Centenario
492,287,Villa Aberastáin
493,287,Carpintería
494,287,La Rinconada
495,288,San Juan
496,80,Veinticinco De Mayo
497,81,Monte Hermoso
498,300,Ushuaia
499,301,Río Grande
500,114,Sauce Viejo
501,114,Santo Tomé
502,114,San José Del Rincón
503,114,Santa Fe
504,114,Arroyo Leyes
505,114,Recreo
506,114,Laguna Paiva
507,114,Arroyo Aguiar
508,115,Santa Rosa De Calchines
509,115,Cayastá
510,115,Helvecia
511,303,La Rioja
512,307,Formosa
513,307,Villa del Carmen
514,154,Joaquín V González
515,154,Apolinario Saravia
516,154,Coronel Mollinedo
517,154,El Quebrachal
518,154,Gaona
519,154,Las Lajitas
520,154,Luis Burela
521,154,General Pizarro
522,155,Metán
523,155,El Galpón
524,156,General Güemes
525,156,Campo Santo
526,156,Madre Vieja
527,156,Cobos
528,156,El Bordo
529,237,Concordia
530,237,Los Charrúas
531,253,Belén
532,254,Andalgalá
533,255,Tinogasta
534,256,Recreo
535,256,Icaño
536,256,Quirós
537,256,San Antonio
538,314,San Salvador De Jujuy
539,314,San Pablo De Reyes
540,314,Guerrero
541,315,Monterrico
542,315,Perico
543,315,El Carmen
544,315,Los Lapachos
545,315,Pampa Blanca
546,315,Aguas Calientes
547,315,Puesto Viejo
548,316,Palpalá
549,317,Los Alisos
550,318,San Pedro De Jujuy
551,318,La Mendieta
552,319,Humahuaca
553,320,La Quiaca
554,321,Libertador General San Martín
555,321,Caimancito
556,321,Calilegua
557,321,Yuto
558,321,Bananal
559,321,Chalicán
560,321,Fraile Pintado
561,325,Los Corralitos
562,325,Puente De Hierro
563,325,Guaymallén
564,325,Buena Nueva
565,325,Bermejo
566,325,Jesús Nazareno
567,325,Rodeo De La Cruz
568,325,Colonia Segovia
569,325,Colonia Molina
570,325,El Sauce
571,326,Rodeo Del Medio
572,326,Fray Luis Beltrán
573,326,Russell
574,326,San Roque
575,326,Maipú
576,326,General Ortega
577,326,Lulunta
578,326,Cruz De Piedra
579,326,Coquimbito
580,327,Las Heras
581,327,Panquehua
582,327,El Borbollón
583,327,El Plumerillo
584,327,El Challao
585,327,Uspallata
586,327,Capdevila
587,327,El Pastal
588,327,El Algarrobal
589,327,Jocolí
590,327,El Borbollon
591,328,Sarmiento
592,328,Villa del Parque
593,328,San Vicente
594,328,Godoy Cruz
595,328,Trapiche
596,328,Gobernador Benegas
597,329,Mendoza
598,330,Palmira
599,330,San Martín
600,330,Chapanay
601,330,Tres Porteñas
602,331,Villa Tulumaya
603,331,Lavalle
604,331,Costa De Araujo
605,331,3 De mayo
606,331,Barrio La Palmera
607,331,El Paramillo
608,331,Ingeniero Gustavo André
609,331,Jocolí
610,331,Jocolí Viejo
611,331,Barrio Alto Del Olvido
612,332,Vertientes del Pedemonte
613,332,Chacras De Coria
614,332,Mayor Drummond
615,332,Luján De Cuyo
616,332,Perdriel
617,332,Ugarteche
618,332,Agrelo
619,332,Potrerillos
620,333,Tunuyán
621,333,Vista Flores
622,333,Colonia Las Rosas
623,334,General Alvear
624,334,Bowen
625,334,Carmensa
626,335,Rivadavia
627,335,Andrade
628,335,Los Árboles
629,336,San Carlos
630,336,Eugenio Bustos
631,336,Chilecito
632,336,La Consulta
633,336,Pareditas
634,336,Barrio El Cepillo
635,337,Tupungato
636,337,La Arboleda
637,337,El Peral
638,337,Belgrano Norte
639,337,Anchoris
640,337,Villa Bastias
641,338,Malargüe
642,339,San Rafael
643,339,Cuadro Benegas
644,339,Las Paredes
645,339,El Nihuil
646,339,Goudge
647,339,Jaime Prats
648,339,Las Malvinas
649,339,Pobre Diablo
650,339,Salto De Las Rosas
651,339,Villa Atuel Norte
652,342,La Banda
653,342,Clodomira
654,342,Simbolar
655,343,Frías
656,343,Tapso
657,344,Santiago Del Estero
658,344,El Zanjón
659,345,Monte Quemado
660,345,Pampa De Los Guanacos
661,345,El Caburé
662,345,Los Tigres
663,345,Los Pirpintos
664,346,Quimili
665,346,Tintina
666,347,Añatuya
667,361,Rawson
668,361,Trelew
669,362,Puerto Madryn
670,363,Comodoro Rivadavia
671,364,Esquel
672,364,Trevelín
673,190,Saladas
674,190,San Lorenzo
675,191,Goya
676,192,Santa Lucía
677,192,Lavalle
678,193,Bella Vista
679,194,Esquina
680,194,Pueblo Libertador
681,195,Monte Caseros
682,196,San Luis Del Palmar
683,197,Mercedes
684,198,Paso De Los Libres
685,199,Santo Tomé
686,199,Gobernador Igr. Valentín Virasoro
687,200,Curuzú Cuatiá
688,200,Perugorría
689,238,Gualeguay
690,239,Concepción Del Uruguay
691,240,Gualeguaychú
692,241,Nogoyá
693,242,Victoria
694,242,Rincón de Nogoyá
695,242,El Espinillo
696,243,Diamante
697,244,Rosario Del Tala
698,244,Maciá
699,245,Chajarí
700,245,Federación
701,246,San José
702,246,Colón
703,308,Clorinda
704,308,Laguna Naick-Neck
705,308,Riacho He-He
